-0;-0;3.36683
3.36683;-0;0.439497
0.439497;0.439497;-0
3.36683;3.36683;-0
0.353359;0.353359;3.36683
-0;-0;-0
3.36683;-0;-0
-0;-0;-0
-0;-0;-0
1.29879;-0;-0
3.50415;1.05623;-0
1.05623;-0;-0
-0;-0;-0
4.28658;4.28658;-0
-0;-0;-0
-0;-0;-0
4.15179;3.28828;-0
3.39933;-0;-0
-0;-0;1.60483
3.59311;3.59311;-0
3.59311;2.18099;-0
2.8956;1;1
0.3125;0.3125;0.25
0.0454545;0.0454545;0.0454545
0.5;0.3125;0.3125
0.0625;0.133333;0.133333
0.3125;0.2;0.333333
1;0.3125;1
0.0169492;0.0169492;0.0060241
0.0060241;0.0060241;0.0169492
0.0060241;0.375;0.2
0.2;0.184783;0.0416667
0.047619;0.0416667;0.5
0.333333;0.5;0.25
0.25;0.365591;0.365591
0.0135135;0.025;0.0135135
0.0135135;0.025;0.0135135
0.0135135;0.31068;0.285714
0.0769231;0.090535;0.0555556
0.0555556;0.0555556;0.0555556
0.0617284;0.168067;0.168067
0.1;0.168067;0.132353
0.125;0.0625;1
1;48;48
4;44;44
44;2;48
48;16;15
15;48;5
3;1;48
1;59;59
166;166;166
59;166;8
5;5;92
72;21;72
2;3;2
4;4;93
93;74;40
74;74;40
74;74;103
126;13;243
18;18;18
18;162;119
119;10;119
68;8;192
